date,close,trade_value
2024-09-20 09:15:00+05:30,53188.05,0.0
2024-09-20 09:16:00+05:30,53166.7,0.0
2024-09-20 09:17:00+05:30,53154.15,0.0
2024-09-20 09:18:00+05:30,53128.1,0.0
2024-09-20 09:19:00+05:30,53104.55,0.0
2024-09-20 09:20:00+05:30,53068.65,0.0
2024-09-20 09:21:00+05:30,53118.85,53118.85
2024-09-20 09:22:00+05:30,53145.35,0.0
2024-09-20 09:23:00+05:30,53125.7,0.0
2024-09-20 09:24:00+05:30,53079.2,-39.650000000001455
2024-09-20 09:25:00+05:30,53077.3,53077.3
2024-09-20 09:26:00+05:30,53118.15,0.0
2024-09-20 09:27:00+05:30,53097.1,19.799999999995634
2024-09-20 09:28:00+05:30,53049.45,0.0
2024-09-20 09:29:00+05:30,53095.6,53095.6
2024-09-20 09:30:00+05:30,53092.25,-3.349999999998545
2024-09-20 09:31:00+05:30,53119.4,53119.4
2024-09-20 09:32:00+05:30,53132.1,12.69999999999709
2024-09-20 09:33:00+05:30,53149.25,53149.25
2024-09-20 09:34:00+05:30,53122.15,-27.099999999998545
2024-09-20 09:35:00+05:30,53134.4,53134.4
2024-09-20 09:36:00+05:30,53052.5,-81.90000000000146
2024-09-20 09:37:00+05:30,53116.45,53116.45
2024-09-20 09:38:00+05:30,53118.0,0.0
2024-09-20 09:39:00+05:30,53094.35,-22.099999999998545
2024-09-20 09:40:00+05:30,53125.35,53125.35
2024-09-20 09:41:00+05:30,53120.6,-4.75
2024-09-20 09:42:00+05:30,53103.3,0.0
2024-09-20 09:43:00+05:30,53090.9,0.0
2024-09-20 09:44:00+05:30,53103.05,53103.05
2024-09-20 09:45:00+05:30,53079.45,-23.60000000000582
2024-09-20 09:46:00+05:30,53081.3,53081.3
2024-09-20 09:47:00+05:30,53081.45,0.14999999999417923
2024-09-20 09:48:00+05:30,53122.6,53122.6
2024-09-20 09:49:00+05:30,53136.0,13.400000000001455
2024-09-20 09:50:00+05:30,53182.3,53182.3
2024-09-20 09:51:00+05:30,53224.6,0.0
2024-09-20 09:52:00+05:30,53231.7,0.0
2024-09-20 09:53:00+05:30,53201.65,19.349999999998545
2024-09-20 09:54:00+05:30,53216.8,53216.8
2024-09-20 09:55:00+05:30,53272.25,0.0
2024-09-20 09:56:00+05:30,53311.75,0.0
2024-09-20 09:57:00+05:30,53312.8,96.0
2024-09-20 09:58:00+05:30,53335.5,53335.5
2024-09-20 09:59:00+05:30,53329.45,-6.05000000000291
2024-09-20 10:00:00+05:30,53397.15,53397.15
2024-09-20 10:01:00+05:30,53355.4,-41.75
2024-09-20 10:02:00+05:30,53336.95,0.0
2024-09-20 10:03:00+05:30,53389.5,53389.5
2024-09-20 10:04:00+05:30,53366.95,-22.55000000000291
2024-09-20 10:05:00+05:30,53349.45,0.0
2024-09-20 10:06:00+05:30,53372.35,53372.35
