date,close,trade_1,trade_2,trade_3
2024-09-19 12:55:00+05:30,53013.7,0,0,0
2024-09-19 12:56:00+05:30,52981.9,0,0,1
2024-09-19 12:57:00+05:30,52973.95,0,0,2
2024-09-19 12:58:00+05:30,52992.6,0,3,0
2024-09-19 12:59:00+05:30,52961.75,0,3,4
2024-09-19 13:00:00+05:30,52961.5,0,0,5
2024-09-19 13:01:00+05:30,52944.0,0,0,6
2024-09-19 13:02:00+05:30,52966.5,0,7,0
2024-09-19 13:03:00+05:30,52976.5,0,8,0
2024-09-19 13:04:00+05:30,52979.25,0,9,0
2024-09-19 13:05:00+05:30,52965.85,0,9,10
2024-09-19 13:06:00+05:30,52979.9,0,11,0
2024-09-19 13:07:00+05:30,53009.7,0,12,0
2024-09-19 13:08:00+05:30,52978.6,0,12,13
2024-09-19 13:09:00+05:30,52961.4,0,0,14
2024-09-19 13:10:00+05:30,52960.35,0,0,15
2024-09-19 13:11:00+05:30,52972.1,0,16,0
2024-09-19 13:12:00+05:30,52963.6,0,16,17
2024-09-19 13:13:00+05:30,52982.95,0,18,0
2024-09-19 13:14:00+05:30,52967.05,0,18,19
2024-09-19 13:15:00+05:30,52990.85,0,20,0
2024-09-19 13:16:00+05:30,52986.35,0,20,21
2024-09-19 13:17:00+05:30,53008.5,0,22,0
2024-09-19 13:18:00+05:30,52976.1,0,22,23
2024-09-19 13:19:00+05:30,52951.0,0,0,24
2024-09-19 13:20:00+05:30,52964.8,0,25,0
2024-09-19 13:21:00+05:30,52967.4,0,26,0
2024-09-19 13:22:00+05:30,52989.95,0,27,0
2024-09-19 13:23:00+05:30,52986.55,0,28,0
2024-09-19 13:24:00+05:30,52995.35,0,29,0
2024-09-19 13:25:00+05:30,52987.35,0,29,30
2024-09-19 13:26:00+05:30,52990.35,0,0,31
2024-09-19 13:27:00+05:30,52964.65,0,0,32
2024-09-19 13:28:00+05:30,52957.0,0,0,33
2024-09-19 13:29:00+05:30,52942.2,0,0,34
2024-09-19 13:30:00+05:30,52953.05,0,35,0
2024-09-19 13:31:00+05:30,52942.95,0,35,36
2024-09-19 13:32:00+05:30,52940.6,0,0,37
2024-09-19 13:33:00+05:30,52946.5,0,38,0
2024-09-19 13:34:00+05:30,52957.55,0,39,0
2024-09-19 13:35:00+05:30,52952.7,0,40,0
2024-09-19 13:36:00+05:30,52953.2,0,40,41
2024-09-19 13:37:00+05:30,52949.05,0,0,42
2024-09-19 13:38:00+05:30,52949.75,0,43,0
2024-09-19 13:39:00+05:30,52927.35,0,43,44
2024-09-19 13:40:00+05:30,52932.0,0,45,0
2024-09-19 13:41:00+05:30,52922.6,0,46,0
2024-09-19 13:42:00+05:30,52946.5,0,47,0
2024-09-19 13:43:00+05:30,52950.65,0,48,0
2024-09-19 13:44:00+05:30,52953.7,0,49,0
2024-09-19 13:45:00+05:30,52935.05,0,49,50
2024-09-19 13:46:00+05:30,52924.75,0,0,51
2024-09-19 13:47:00+05:30,52925.9,0,0,52
2024-09-19 13:48:00+05:30,52914.5,0,0,53
2024-09-19 13:49:00+05:30,52889.75,0,0,54
2024-09-19 13:50:00+05:30,52915.75,0,55,0
2024-09-19 13:51:00+05:30,52926.05,0,56,0
2024-09-19 13:52:00+05:30,52942.65,0,57,0
2024-09-19 13:53:00+05:30,52940.8,0,57,58
2024-09-19 13:54:00+05:30,52946.3,0,59,0
2024-09-19 13:55:00+05:30,52943.3,0,59,60
2024-09-19 13:56:00+05:30,52954.9,0,61,0
2024-09-19 13:57:00+05:30,52945.25,0,61,62
2024-09-19 13:58:00+05:30,52947.3,0,0,63
2024-09-19 13:59:00+05:30,52953.95,0,0,64
2024-09-19 14:00:00+05:30,52956.55,0,65,0
2024-09-19 14:01:00+05:30,52946.65,0,65,66
2024-09-19 14:02:00+05:30,52948.1,0,0,67
2024-09-19 14:03:00+05:30,52954.8,0,68,0
2024-09-19 14:04:00+05:30,52944.3,0,68,69
2024-09-19 14:05:00+05:30,52965.15,0,70,0
2024-09-19 14:06:00+05:30,52958.1,0,70,71
2024-09-19 14:07:00+05:30,52964.2,0,72,0
2024-09-19 14:08:00+05:30,52966.35,0,73,0
2024-09-19 14:09:00+05:30,52965.3,0,73,74
2024-09-19 14:10:00+05:30,52974.6,0,75,0
2024-09-19 14:11:00+05:30,52995.55,0,76,0
2024-09-19 14:12:00+05:30,53002.95,0,77,0
2024-09-19 14:13:00+05:30,52987.5,0,77,78
2024-09-19 14:14:00+05:30,52970.05,0,0,79
2024-09-19 14:15:00+05:30,52958.2,0,0,80
2024-09-19 14:16:00+05:30,52951.6,0,0,81
2024-09-19 14:17:00+05:30,52944.75,0,0,82
2024-09-19 14:18:00+05:30,52946.35,0,83,0
2024-09-19 14:19:00+05:30,52938.55,0,83,84
2024-09-19 14:20:00+05:30,52939.55,0,85,0
2024-09-19 14:21:00+05:30,52938.9,0,86,0
2024-09-19 14:22:00+05:30,52943.25,0,87,0
2024-09-19 14:23:00+05:30,52952.9,0,88,0
2024-09-19 14:24:00+05:30,52959.2,0,88,89
2024-09-19 14:25:00+05:30,52953.3,0,0,90
2024-09-19 14:26:00+05:30,52968.4,0,91,0
2024-09-19 14:27:00+05:30,52972.5,0,92,0
2024-09-19 14:28:00+05:30,52967.5,0,92,93
2024-09-19 14:29:00+05:30,52964.15,0,0,94
2024-09-19 14:30:00+05:30,52974.45,0,0,95
2024-09-19 14:31:00+05:30,52982.45,0,96,0
2024-09-19 14:32:00+05:30,52984.4,0,96,97
2024-09-19 14:33:00+05:30,52964.35,0,0,98
2024-09-19 14:34:00+05:30,52948.65,0,0,99
2024-09-19 14:35:00+05:30,52940.55,0,0,100
2024-09-19 14:36:00+05:30,52943.3,0,0,101
2024-09-19 14:37:00+05:30,52935.35,0,0,102
2024-09-19 14:38:00+05:30,52943.0,0,103,0
2024-09-19 14:39:00+05:30,52923.45,0,103,104
2024-09-19 14:40:00+05:30,52933.8,0,105,0
2024-09-19 14:41:00+05:30,52930.05,0,106,0
2024-09-19 14:42:00+05:30,52936.85,0,107,0
2024-09-19 14:43:00+05:30,52927.05,0,107,108
